比赛项目,报名开启时间,报名渠道,创建人,分项规模,官网,完赛经历要求,体检报告,奖牌,官方邮箱,联系电话,运营单位,出签日期,省份,赛事等级,退出机制,报名截止时间,比赛路线,抽签,起点,状态,主办单位,比赛日期,报名费,缴费时间,总规模,最后编辑人,微信公众号,赛事
半程,2025-03-05 10:00,马拉马拉 / 数字心动 / 京东,,12000,,未提及,自行评估,,etownmalasong@163.com,13521000745,,2025-03-17 15:34,北京,A,如同日中签北京地区其他赛事可保留名额至2026,2025-03-11 17:00,,✔️,南海子公园,已结束,北京市体育局 / 北京市经济和信息化局 / 北京经济技术开发区管委会,2025-04-19 15:30,120,中签后缴费,12000,,北京亦庄半程马拉松,北京亦庄半程马拉松
半程 / 短距离,2025-01-18 10:30,官网/微信/小程序,,4000/6000,,未提及,未提及,,,,重庆千君智行体育赛事策划有限公司 / 重庆千君万马体育发展有限公司,,重庆,A,无,2025-03-15 23:59,,❌,合川区人民政府,已结束,重庆市合川区人民政府,2025-03-30 16:11,150/100,报名时缴费,10000,,千君万马体育,合川半程马拉松
全程 / 半程 / 短距离,2025-02-08 15:00,官网/微信/小程序,,3000/6000/6000,,未提及,自行评估,,,0911-3752998,陕西体育集团西风烈赛事有限公司,2025-02-26 10:27,陕西,A,无,2025-02-21 23:59,,✔️,延安市人民公园,已结束,陕西省体育局 / 延安市人民政府,2025-04-20 10:05,150/100/50,报名时缴费,15000,,延安全民健身运动中心,延安新区马拉松赛
半程 / 短距离,2025-01-22 10:00,官网/微信/小程序 / 数字心动,,4800/1700,,未提及,自行评估,,,13309501470,悦动未来（宁夏）体育文化发展有限公司,,宁夏,B,无,2025-03-28 10:00,,❌,,已结束,宁夏回族自治区体育局 / 宁夏回族自治区文化和旅游厅 / 宁夏贺兰山东麓葡萄酒产业园区管理委员会,2025-04-13 09:41,140/80,报名时缴费,6500,,宁夏贺兰山路跑双季赛,宁夏贺兰山东麓葡萄酒产区半程马拉松路跑双季赛（花季赛）
半程 / 短距离,2025-03-14 12:00,官网/微信/小程序,,4500/5500,,半程或以上,自行评估,,,,广西达才体育健身有限公司 / 成都尚跑体育文化传播有限公司,,广西,B,3月31日前可退费,2025-03-31 18:00,,❌,,已结束,三江侗族自治县人民政府,2025-04-20 17:50,150/73,报名时缴费,10000,,三江马拉松,三江半程马拉松赛
半程 / 短距离,2025-03-18 10:00,数字心动,,4000/2000,,未提及,自行评估,,,,,,安徽,B,无,2025-03-25 22:00,,❌,,已结束,合肥市体育局 / 肥西县人民政府,2025-04-12 11:18,120/80,报名时缴费,6000,,波动体育,肥西紫蓬山半程马拉松
半程 / 短距离,2025-03-18 10:00,官网/微信/小程序,,6000/4000,https://www.fymls.com,半程或以上,可用完赛证书,,fuyangmarathon@163.com,0571-63348015,深圳市五环体育产业发展有限公司,2025-04-05 10:21,浙江,B,无,2025-03-30 18:00,,✔️,,已结束,杭州市富阳区人民政府,2025-04-20 14:29,120/60,报名时缴费,10000,,杭州富阳半程马拉松赛,杭州富阳半程马拉松
全程 / 半程 / 短距离,2025-01-14 10:00,官网/微信/小程序 / 数字心动 / 最酷,,4000/6000/8000,https://www.xianningmarathon.com,未提及,自行评估,,xianningmarathon@163.com,13044802661,广州博润体育科技有限公司,2025-03-10 15:00,湖北,A,无,2025-02-21 18:00,,✔️,咸宁人民广场,已结束,湖北省体育局 / 咸宁市人民政府,2025-04-13 13:21,180/150/80,报名时缴费,18000,,咸宁马拉松,咸宁马拉松
全程 / 半程 / 短距离,2025-01-21 14:30,官网/微信/小程序 / 数字心动,,2000/5000/5000,http://rongchengmls.iqilu.com,马拉松项目需半程以上完赛经历,自行评估,,rongchengmls@163.com,0531-66661234,山东广播电视台,,山东,A,无 ,2025-02-28 17:00,,❌,荣成市体育中心,已结束,威海市体育局 / 荣成市人民政府,2025-04-20 14:31,150/120/39,报名时缴费,12000,,荣成滨海马拉松,荣成马拉松
全程 / 半程 / 短距离,2025-01-10 10:00,官网/微信/小程序 / 数字心动 / 润赛美佳,,3000/7000/10000,http://www.wanzhoumls.com,未提及,必须,,ztdjkgs@163.com,18008053490,成都中体大健康体育文化传播有限公司,,重庆,A,无,2025-03-11 18:00,,❌,重庆万州体育中心,已结束,重庆市万州区人民政府,2025-03-30 15:29,160/120/70,报名时缴费,20000,,中体大健康,重庆万州环湖马拉松
全程 / 半程 / 短距离,2025-03-16 10:00,,,,,,,,,,南京善跑体育科技有限公司,2025-03-25 11:05,河北,A,,2025-03-20 17:00,,✔️,,已结束,保定市人民政府,2025-04-20 17:00,,,25000,,,保定马拉松
半程 / 短距离,2025-02-10 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉 / 跑跑网(马拉松报名),,5000/5000,,未提及,未提及,,xxbcmls@139.com,15814562376,,,河南,A,无,2025-03-10 10:00,,❌,,已结束,信阳市教育体育局 / 新县人民政府,2025-04-13 14:48,130/60,报名时缴费,10000,,新县红旗飘扬半程马拉松,新县半程马拉松
全程 / 半程 / 短距离,2025-01-08 10:00,官网/微信/小程序,,8000/8000/4000,http://www.yangling-marathon.com,半程或以上,自行评估,,51130233@qq.com,029-87036066,,2025-01-18 11:35,陕西,A / 标牌,无,2025-01-12 18:00,,✔️,杨凌农业科技展览中心,已结束,陕西省体育局 / 陕西省文化和旅游厅 / 杨凌示范区管委会,2025-04-13 10:45,200/180/100,报名时缴费,20000,,杨凌农科城马拉松,杨凌农科城马拉松赛
全程 / 半程 / 短距离,2025-03-02 10:00,官网/微信/小程序 / 马拉马拉,,2000/3000/5000,,未提及,自行评估,,mqxjtjtyk@126.com,19213701499,,,河南,B,无,2025-04-05 23:59,,❌,,已结束,商丘市教育体育局 / 民权县人民政府,2025-04-20 18:43,140/120/50,报名时缴费,10000,,民权体育,民权马拉松
半程 / 短距离,2025-07-08 10:00,官网/微信/小程序,,2000/5000,https://www.tachengmarathon.com,10km及以上,必须,,tachengmarathon@163.com,18324410076,,,新疆,B,,2025-08-05 22:00,,❌,,已结束,塔城地区行政公署 / 新疆马拉松及路跑协会,2025-08-24 00:00,80/50,报名时缴费,7000,,塔城马拉松,塔城半程马拉松
全程 / 半程 / 短距离,2025-02-14 18:00,官网/微信/小程序,,1000/2500/1500,https://www.huajiansaishi.com,未提及,自行评估,,,0531-6933111,华舰体育赛事发展（山西）有限公司,,山西,B,无,2025-02-21 18:00,,❌,县委广场[公交站],已结束,稷山县人民政府,2025-05-11 00:00,100/80/50,报名时缴费,5000,,华舰赛事,稷山马拉松
全程 / 半程 / 中距离,2025-06-26 12:00,官网/微信/小程序,,2000/5000/3000,http://www.kangpingmarathon.luojiweiye.com/,半程或以上 / 未提及,自行评估,,kangpingmarathon@163.com,024-31326115,,2025-07-18 00:00,辽宁,B,无,2025-07-13 12:00,"https://docimg9.docs.qq.com/image/AgAACG-qqCF0mPqZK0dLvrYfiiG9jZWa.png?w=1080&h=948, https://docimg9.docs.qq.com/image/AgAACG-qqCHet9-6JMVL1rHWqNsapFQf.png?w=1080&h=948, https://docimg6.docs.qq.com/image/AgAACG-qqCET2le601BEBrYi5RUfQf6X.png?w=1080&h=948",✔️,卧龙湖生态区,已结束,沈阳市体育局 / 康平县人民政府,2025-08-31 00:00,150/120/80,报名时缴费,10000,,康平马拉松,沈阳·康平卧龙湖马拉松
全程 / 半程 / 短距离,2025-03-24 10:00,官网/微信/小程序,,1000/2000/2000,https://www.baoqingmarathon.com,半程或以上 / 10km及以上,未提及,,bqmls@cnsgsports.cn,18945189663,华体赛事（北京）体育管理有限公司,2025-05-01 14:55,黑龙江,B,,2025-04-28 20:00,,✔️,宝清县文化创意中心,已结束,中共宝清县委 / 宝清县人民政府,2025-05-25 00:00,120/60,报名时缴费,5000,,宝清马拉松,宝清马拉松
全程 / 半程 / 短距离,2025-06-24 10:00,官网/微信/小程序,,4000/6000/4000,http://urumqimarathon.xempower.cn,未提及,自行评估,,wlmqmarathon@163.com,025-87775902,南京善跑体育科技有限公司,2025-07-25 00:00,新疆,A,,2025-07-15 18:00,,✔️,新疆国际会展中心-南2门,已结束,新疆维吾尔区体育局 / 乌鲁木齐市人民政府,2025-08-31 17:18,150/120/80,报名时缴费,14000,,乌鲁木齐马拉松,乌鲁木齐马拉松
半程 / 短距离,2025-07-12 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉 / 跑跑网(马拉松报名) / 最酷 / 润赛美佳 / 智赛通 / 马拉松报名网,,6000/3000,,未提及,自行评估,https://docimg9.docs.qq.com/image/AgAACG-qqCEs4PJ27ZtOSoARNzhzCMRS.png?w=958&h=655,,0951-5100000,北京耐吉文化传播有限公司,,宁夏,B,无,2025-07-31 10:00,"https://docimg5.docs.qq.com/image/AgAACG-qqCFmrqc4bFxKxZXebA-KqbiR.jpeg?w=1080&h=642, https://docimg2.docs.qq.com/image/AgAACG-qqCFBU94j8DROjpijcb3cMyl-.jpeg?w=1080&h=641",❌,市政广场,已结束,中共中卫市沙坡头区委员会 / 中卫市沙坡头区人民政府,2025-08-31 00:00,140/60,报名时缴费,9000,,中卫沙坡头区马拉松,宁夏沙坡头半程马拉松赛
半程 / 短距离,2025-06-24 14:00,官网/微信/小程序,,4000/6000,,未提及,自行评估,,wnmarathon@163.com,13535360830,,,贵州,A,,2025-07-28 17:00,,❌,乌撒广场,已结束,贵州省体育局 / 毕节市人民政府,2025-08-24 00:00,130/50,报名时缴费,10000,,"威宁半程马拉
松",威宁半程马拉松
10km / 短距离,2025-04-10 12:00,官网/微信/小程序,,1500/1500,https://m.irunner.mobi/mix-race-apply/?match_eng=67f622ee1a4d6#/grid,未提及,未提及,,178827103@qq.com,18058756033,浙江午马精英体育发展有限公司,,浙江,A / WA,无,2025-04-23 23:59,,❌,云澜湾温泉度假小镇,已结束,中国田径协会 / 嘉善县人民政府,2025-05-11 10:39,100/80,报名时缴费,3000,,午马体育,中国田径协会10公里精英赛 嘉善 · 大云站
半程 / 中距离 / 短距离,2025-07-17 10:00,官网/微信/小程序 / 第一赛道 / 马拉马拉 / 数字心动,,1000/1500/3000,https://www.badongmarathon.com,10km及以上,可用完赛证书,,badongmarathon@luyuesport.com,13701741466,路越（湖北）体育发展有限公司,,湖北,B,1. 已提交报名信息及支付的选手，在7月31日18:00前，可在订单页面自行办理退赛退费服务。2.完成缴费后24小时内的报名订单，申请退赛退费的将不 收取任何费用，报名费将在申请后1个工作日内全额原路退回。3.完成缴费后超过24小时的报名订单，申请退赛退费的不 论项目均需收取20 元/次的服务费，扣除相应服务费后剩余费用 在申请后1个工作日内原路退回。,2025-08-05 18:00,,❌,巴东县野三关镇人民政府,已结束,巴东县人民政府,2025-08-17 00:00,120/80/60,报名时缴费,5500,,巴东马拉松,巴东野三关半程马拉松
半程 / 短距离,2025-04-23 21:00,官网/微信/小程序,,3000/2000,,15km以上,未提及,,,18139233712,广州悦跑信息科技有限公司,,兵团,B,,2025-05-15 21:00,,❌,朱雀湖公园,已结束,新疆生产建设兵团第四师可克达拉市人民政府,2025-05-25 00:00,100/60,报名时缴费,5000,,可克达拉市城建杯马拉松,可克达拉半程马拉松
半程 / 短距离,2025-06-13 10:00,官网/微信/小程序 / 第一赛道,,3000/2000,,10km及以上,可用完赛证书,,397529747@qq.com,13700622001,路越（上海）体育发展有限公司,,云南,B,有,2025-07-20 18:00,,❌,鹤庆·新华银器小镇,已结束,鹤庆县人民政府,2025-08-10 14:29,150/77,报名时缴费,5000,,曲速体育、路越体育、第一赛道,鹤庆半程马拉松
全程 / 半程 / 短距离,2025-04-30 10:00,数字心动 / 马拉马拉 / 第一赛道,,2000/4000/6000,,半程或以上 / 10km及以上,可用完赛证书,,,18671861777,,,湖北,B,5月25日18：00可以退改,2025-06-10 18:00,,❌,楚蜀大道与大坝路交叉口,已结束,咸丰县人民政府,2025-06-29 11:06,150/120/60,报名时缴费,10000,,,咸丰马拉松
半程 / 中距离 / 短距离,2025-03-20 10:00,官网/微信/小程序 / 数字心动,,5000/3000/4000,https://www.sichuanbojiesports.com,未提及,必须,,,13529388388,四川博捷体育文化传播有限公司,2025-05-01 11:03,贵州,A / 精英,,2025-04-25 22:00,,✔️,,已结束,贵州省体育局 / 安顺市人民政府,2025-06-22 08:54,180/100/60,报名时缴费,12000,,黄果树半程马拉松,贵州·镇宁黄果树半程马拉松
全程 / 半程 / 短距离,2025-03-20 10:00,官网/微信/小程序 / 第一赛道,,2000/3000/5000,https://kuche.sport-china.cn,10km及以上,可用完赛证书,,kuchemarathon@luyuesport.com,13697293951,路越（湖北）体育发展有限公司,,新疆,B,4月15日18:00前可退出,2025-04-20 18:00,,❌,库车市政府便民办公大楼,已结束,库车市人民政府,2025-05-04 00:00,150/120/60,报名时缴费,10000,,路越体育,库车马拉松
半程 / 短距离,2025-04-12 11:06,官网/微信/小程序 / 数字心动,,4500/1500,,10km及以上,自行评估,,yudumalasong@126.com,,,2025-04-30 10:27,江西,B,无 ,2025-04-25 18:00,,✔️,中央红军长征出发地纪念园,已结束,于都县人民政府,2025-05-11 00:00,118/50,报名时缴费,6000,,于都马拉松,于都半程马拉松
全程 / 半程 / 短距离,2025-03-20 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉,,4000/5000/3000,,半程或以上,自行评估,,miyunmarathon@126.com,010-53899656,北京中锐体育产业有限公司,2025-04-18 10:34,北京,A / 精英,,2025-03-31 15:00,,✔️,,已结束,北京市密云区人民政府,2025-05-25 08:55,200/160/100,报名时缴费,12000,,密云生态马拉松,密云马拉松
半程 / 短距离,2025-04-11 10:00,官网/微信/小程序 / 数字心动,,4500/1500,,未提及,必须,,shuangao@163.com,010-53383535,北京双奥体育文化产业集团有限公司,,北京,A,,2025-04-17 16:00,,❌,,已结束,北京市大兴区人民政府,2025-05-11 13:26,120/50,报名时缴费,6000,,首善之地魏善庄,北京大兴半程马拉松
半程,2025-04-26 09:00,官网/微信/小程序,,5000,https://www.hlsports.net/marathon,男子半程145全程340女子半程155全程400以内,必须,,WLHM@zjhlsports.cn,0571-87630508,浙江跑神体育文化策划有限公司 / 浙江黄龙体育发展有限公司,2025-05-04 11:28,浙江,A,,2025-04-29 09:00,https://docimg1.docs.qq.com/image/AgAACG-qqCF5DfbjXY1C25hYM17L50-Y.png?w=1080&h=1106,✔️,黄龙体育中心,已结束,西湖区人民政府 / 杭州西湖风景名胜区管理委员会 / 浙江省黄龙体育中心 / 浙江省马拉松及路跑协会,2025-05-25 00:00,150,报名时缴费,5000,,西湖半程马拉松,西湖半程马拉松
半程 / 短距离,2025-07-09 14:00,官网/微信/小程序 / 数字心动,,6000/2000,,未提及,自行评估,,15042061405@qq.com,15042061405,,2025-07-25 00:00,辽宁,A,,2025-07-20 17:00,,✔️,铁岭新区钻石广场,已结束,中共铁岭县委 / 铁岭县人民政府,2025-09-07 00:00,120/60,报名时缴费,8000,,铁岭莲花湿地半程马拉松,铁岭莲花湿地半程马拉松
半程 / 10km / 短距离,2025-03-10 14:00,官网/微信/小程序 / 第一赛道 / 数字心动,,4000/2000/4000,,半程或以上,自行评估,,kuitun@sport-china.cn,,广东新中体育集团有限公司,,新疆,A / A,4月10日18时前可退改,2025-04-10 18:00,,❌,,已结束,奎屯市人民政府 / 中国田径协会 / 第七师胡杨河市人民政府,2025-05-02 10:22,120/80/60,报名时缴费,10000,,奎屯马拉松、第一赛道,新疆奎屯兵地融合半程马拉松暨中国田径协会10公里精英赛（奎屯站）
全程 / 半程 / 短距离,2025-03-06 10:00,官网/微信/小程序,,20000/6000/14000,http://lzmarathon.com,未提及,必须,,,0931-8433220,北京中迹体育管理有限公司,2025-03-17 10:09,甘肃,A / 金标 / AIMS,有,2025-03-15 17:00,,✔️,奥体中路,已结束,甘肃省体育局 / 兰州市人民政府,2025-05-25 14:45,200/160/60,中签后缴费,40000,,兰州马拉松,兰州马拉松
全程 / 半程 / 短距离,2025-03-10 10:00,官网/微信/小程序,,12000/16000/5000,https://dlmls.org,未提及,自行评估,,dlmlsmarathon@163.com,0411-84802607,华润文化体育发展有限公司 / 南京善跑体育科技有限公司,2025-03-24 10:07,辽宁,A / 精英 / AIMS,3月31日24时前可以退出,2025-03-16 18:00,,✔️,港浦路与珠荷街交叉口,已结束,大连市人民政府,2025-05-11 10:31,180/150/80,中签后缴费,33000,,大连马拉松赛,大连马拉松
半程 / 短距离,2025-03-20 11:00,官网/微信/小程序,,2000/3000,,未提及,自行评估,,,18702590827,浙江森狼体育发展有限公司,,江西,A,无,2025-04-15 23:59,,❌,资溪面包广场,已结束,资溪县人民政府 / 抚州市教育体育局,2025-05-11 00:00,,报名时缴费,5000,,大觉山马拉松,大觉山半程马拉松
10km / 短距离,2025-04-09 10:00,官网/微信/小程序 / 数字心动,,3000/2000,,未提及,自行评估,,,,,,安徽,A / WA,,2025-04-23 10:00,,❌,靓淮河,已结束,中国田径协会 / 蚌埠市人民政府,2025-05-04 10:39,80/35,报名时缴费,5000,,蚌埠马拉松,中国田径协会10公里精英赛（蚌埠站）
半程 / 短距离,2025-04-18 15:00,官网/微信/小程序,,6000/6000,,未提及,自行评估,,278584864@q.com,024-31851890,,2025-04-29 11:14,辽宁,B,有退出和候补机制,2025-04-23 17:00,,✔️,北陵公园,已结束,中共沈阳市皇姑区委员会 / 沈阳市皇姑区人民政府,2025-05-31 00:00,120/60,报名时缴费,12000,,文创皇姑,沈阳皇姑半程马拉松
